BTCUSDT: n=17 winrate=35.29% R=12.0712
symbol,direction,entry,sl,tp1,tp2,tp3,opened_at,closed_at,exit_price,result,r_multiple
BTCUSDT,LONG,64289.59,60717.785,76427.01000000001,83927.93556000001,88564.43000000001,2024-04-25 00:00:00+00:00,2024-04-30 00:00:00+00:00,60717.785,LOSS,-1.0
BTCUSDT,LONG,68352.17,66312.16,80144.04999999999,87431.43183999999,91935.93,2024-05-31 00:00:00+00:00,2024-06-11 00:00:00+00:00,66312.16,LOSS,-1.0
BTCUSDT,LONG,62772.01,60717.785,66010.82,68012.40458,69249.63,2024-07-01 00:00:00+00:00,2024-07-03 00:00:00+00:00,60717.785,LOSS,-1.0
BTCUSDT,LONG,62947.99,60717.785,68485.98999999999,71908.474,74023.98999999999,2024-09-20 00:00:00+00:00,2024-10-01 00:00:00+00:00,60717.785,LOSS,-1.0
BTCUSDT,LONG,62540.0,60717.785,66368.0,68733.704,70196.0,2024-10-12 00:00:00+00:00,2024-10-14 00:00:00+00:00,62540.0,WIN_P1,0.3
BTCUSDT,LONG,67092.76,65260.0,77666.28,84200.71536,88239.8,2024-10-27 00:00:00+00:00,2024-11-11 00:00:00+00:00,88239.8,WIN,11.538357449966208
BTCUSDT,LONG,98363.61,91530.45,106094.77,110872.62688000001,113825.93000000001,2025-01-06 00:00:00+00:00,2025-01-09 00:00:00+00:00,91530.45,LOSS,-1.0
BTCUSDT,LONG,96118.12,94119.14,99883.54,102210.56955999999,103648.95999999999,2025-02-17 00:00:00+00:00,2025-02-18 00:00:00+00:00,94119.14,LOSS,-1.0
BTCUSDT,LONG,86082.5,81134.66,94786.21,100165.10278000002,103489.92000000001,2025-03-24 00:00:00+00:00,2025-04-06 00:00:00+00:00,81134.66,LOSS,-1.0
BTCUSDT,LONG,93442.99,91217.335,100146.23000000001,104288.83232000002,106849.47000000002,2025-04-23 00:00:00+00:00,2025-05-19 00:00:00+00:00,106849.47000000002,WIN,6.023611026866257
BTCUSDT,LONG,105681.14,103219.785,108834.76999999999,110783.71333999999,111988.39999999998,2025-07-02 00:00:00+00:00,2025-07-02 00:00:00+00:00,105681.14,WIN_P1,0.3
BTCUSDT,LONG,117840.3,114723.16,123102.09000000001,126353.87622000002,128363.88000000002,2025-07-31 00:00:00+00:00,2025-08-01 00:00:00+00:00,114723.16,LOSS,-1.0
